"TIME","TEMP","YEAR","MONTH","DAY","WDAY","HOUR","MINUTE"
"2017-04-01 00:00:00",49.5017088232985,2017,4,1,7,0,0
"2017-04-01 00:01:00",50.360912073249,2017,4,1,7,0,1
"2017-04-01 00:02:00",49.6913955924942,2017,4,1,7,0,2
"2017-04-01 00:03:00",51.0146957872524,2017,4,1,7,0,3
"2017-04-01 00:04:00",50.5327080267094,2017,4,1,7,0,4
"2017-04-01 00:05:00",50.4936098695985,2017,4,1,7,0,5
"2017-04-01 00:06:00",50.0137269626564,2017,4,1,7,0,6
"2017-04-01 00:07:00",50.3364361594178,2017,4,1,7,0,7
"2017-04-01 00:08:00",50.2860332512399,2017,4,1,7,0,8
"2017-04-01 00:09:00",50.4518388494875,2017,4,1,7,0,9
"2017-04-01 00:10:00",49.22522380559,2017,4,1,7,0,10
"2017-04-01 00:11:00",50.5113189095783,2017,4,1,7,0,11
"2017-04-01 00:12:00",50.0750415845244,2017,4,1,7,0,12
"2017-04-01 00:13:00",49.6700180200147,2017,4,1,7,0,13
"2017-04-01 00:14:00",49.5027054832379,2017,4,1,7,0,14
"2017-04-01 00:15:00",50.9862293393867,2017,4,1,7,0,15
"2017-04-01 00:16:00",49.7790991782709,2017,4,1,7,0,16
"2017-04-01 00:17:00",49.5496813949306,2017,4,1,7,0,17
"2017-04-01 00:18:00",49.9247059010251,2017,4,1,7,0,18
"2017-04-01 00:19:00",49.5860528923914,2017,4,1,7,0,19
"2017-04-01 00:20:00",50.9929129115908,2017,4,1,7,0,20
"2017-04-01 00:21:00",50.0220025167176,2017,4,1,7,0,21
"2017-04-01 00:22:00",49.7978588440294,2017,4,1,7,0,22
"2017-04-01 00:23:00",49.7635007249583,2017,4,1,7,0,23
"2017-04-01 00:24:00",49.7925883797502,2017,4,1,7,0,24
"2017-04-01 00:25:00",50.3416171137642,2017,4,1,7,0,25
"2017-04-01 00:26:00",50.3451005519549,2017,4,1,7,0,26
"2017-04-01 00:27:00",50.2667459600432,2017,4,1,7,0,27
"2017-04-01 00:28:00",49.9069476181859,2017,4,1,7,0,28
"2017-04-01 00:29:00",50.1914729130536,2017,4,1,7,0,29
"2017-04-01 00:30:00",50.1880920853696,2017,4,1,7,0,30
"2017-04-01 00:31:00",50.5767650101469,2017,4,1,7,0,31
"2017-04-01 00:32:00",50.7874513877074,2017,4,1,7,0,32
